accession,pairs,gene,protein,seq_len,class,is_ion_channel
Q9Y2H9,73,MAST1,Microtubule-associated serine/threonine-protein kinase 1 (EC 2.7.11.1) (Syntrophin-associated serine/threonine-protein kinase),1570,kinase,False
Q92630,73,DYRK2,Dual specificity tyrosine-phosphorylation-regulated kinase 2 (EC 2.7.12.1),601,kinase,False
Q9UEW8,73,STK39,STE20/SPS1-related proline-alanine-rich protein kinase (Ste-20-related kinase) (EC 2.7.11.1) (DCHT) (Serine/threonine-protein kinase 39),545,kinase,False
Q13163,73,MAP2K5,Dual specificity mitogen-activated protein kinase kinase 5 (MAP kinase kinase 5) (MAPKK 5) (EC 2.7.12.2) (MAPK/ERK kinase 5) (MEK 5),448,kinase,False
P20794,73,MAK,Serine/threonine-protein kinase MAK (EC 2.7.11.1) (Male germ cell-associated kinase),623,kinase,False
Q8NE63,73,HIPK4,Homeodomain-interacting protein kinase 4 (EC 2.7.11.1),616,kinase,False
Q12852,72,MAP3K12,Mitogen-activated protein kinase kinase kinase 12 (EC 2.7.11.25) (Dual leucine zipper bearing kinase) (DLK) (Leucine-zipper protein kinase) (ZPK) (MAPK-upstream kinase) (MUK) (Mixed lineage kinase),859,kinase,False
P9WI81,72,pknB,Serine/threonine-protein kinase PknB (EC 2.7.11.1),626,kinase,False
P41743,72,PRKCI,Protein kinase C iota type (EC 2.7.11.13) (Atypical protein kinase C-lambda/iota) (PRKC-lambda/iota) (aPKC-lambda/iota) (nPKC-iota),596,kinase,False
Q13523,72,PRP4K,Serine/threonine-protein kinase PRP4 homolog (EC 2.7.11.1) (PRP4 kinase) (PRP4 pre-mRNA-processing factor 4 homolog),1007,kinase,False
Q14004,72,CDK13,Cyclin-dependent kinase 13 (EC 2.7.11.22) (EC 2.7.11.23) (CDC2-related protein kinase 5) (Cell division cycle 2-like protein kinase 5) (Cell division protein kinase 13) (hCDK13) (Cholinesterase-related cell division controller),1512,kinase,False
Q13526,72,PIN1,Peptidyl-prolyl cis-trans isomerase NIMA-interacting 1 (EC 5.2.1.8) (Peptidyl-prolyl cis-trans isomerase Pin1) (PPIase Pin1) (Rotamase Pin1),163,other,False
P51957,72,NEK4,Serine/threonine-protein kinase Nek4 (EC 2.7.11.1) (Never in mitosis A-related kinase 4) (NimA-related protein kinase 4) (Serine/threonine-protein kinase 2) (Serine/threonine-protein kinase NRK2),841,kinase,False
P51956,72,NEK3,Serine/threonine-protein kinase Nek3 (EC 2.7.11.1) (HSPK 36) (Never in mitosis A-related kinase 3) (NimA-related protein kinase 3),506,kinase,False
Q52WX2,72,SBK1,Serine/threonine-protein kinase SBK1 (EC 2.7.11.1) (SH3 domain-binding kinase 1),424,kinase,False
Q5S007,72,LRRK2,Leucine-rich repeat serine/threonine-protein kinase 2 (EC 2.7.11.1) (EC 3.6.5.-) (Dardarin),2527,kinase,False
Q9NRH2,72,SNRK,SNF-related serine/threonine-protein kinase (EC 2.7.11.1) (SNF1-related kinase),765,kinase,False
Q6XUX3,72,DSTYK,Dual serine/threonine and tyrosine protein kinase (EC 2.7.12.1) (Dusty protein kinase) (Dusty PK) (RIP-homologous kinase) (Receptor-interacting serine/threonine-protein kinase 5) (Sugen kinase 496) (SgK496),929,kinase,False
Q9UL54,72,TAOK2,Serine/threonine-protein kinase TAO2 (EC 2.7.11.1) (Kinase from chicken homolog C) (hKFC-C) (Prostate-derived sterile 20-like kinase 1) (PSK-1) (PSK1) (Prostate-derived STE20-like kinase 1) (Thousand and one amino acid protein kinase 2),1235,kinase,False
O43613,72,HCRTR1,Orexin/Hypocretin receptor type 1 (Hypocretin receptor type 1) (Orexin receptor type 1) (Ox-1-R) (Ox1-R) (Ox1R),425,gpcr,False
Q32MK0,72,MYLK3,Myosin light chain kinase 3 (EC 2.7.11.18) (Cardiac-MyBP-C-associated Ca/CaM kinase) (Cardiac-MLCK),819,kinase,False
O14936,72,CASK,Peripheral plasma membrane protein CASK (hCASK) (EC 2.7.11.1) (Calcium/calmodulin-dependent serine protein kinase) (Protein lin-2 homolog),926,kinase,False
O60331,72,PIP5K1C,Phosphatidylinositol 4-phosphate 5-kinase type-1 gamma (PIP5K1gamma) (PtdIns(4)P-5-kinase 1 gamma) (EC 2.7.1.68) (Type I phosphatidylinositol 4-phosphate 5-kinase gamma),668,other,False
Q8NG66,72,NEK11,Serine/threonine-protein kinase Nek11 (EC 2.7.11.1) (Never in mitosis A-related kinase 11) (NimA-related protein kinase 11),645,kinase,False
P11802,72,CDK4,Cyclin-dependent kinase 4 (EC 2.7.11.22) (Cell division protein kinase 4) (PSK-J3),303,kinase,False
P61075,72,CRK2,Cyclin-dependent kinase 2 homolog (EC 2.7.11.22) (EC 2.7.11.23) (Cell division control protein 2 homolog) (Protein kinase 5) (PfPK5) (cdc2-related kinase 2),288,kinase,False
Q8WU08,72,STK32A,Serine/threonine-protein kinase 32A (EC 2.7.11.1) (Yet another novel kinase 1),396,kinase,False
Q9BQI3,72,EIF2AK1,Eukaryotic translation initiation factor 2-alpha kinase 1 (EC 2.7.11.1) (Heme-controlled repressor) (HCR) (Heme-regulated eukaryotic initiation factor eIF-2-alpha kinase) (Heme-regulated inhibitor) (hHRI) (Hemin-sensitive initiation factor 2-alpha kinase),630,kinase,False
O14733,72,MAP2K7,Dual specificity mitogen-activated protein kinase kinase 7 (MAP kinase kinase 7) (MAPKK 7) (EC 2.7.12.2) (JNK-activating kinase 2) (MAPK/ERK kinase 7) (MEK 7) (Stress-activated protein kinase kinase 4) (SAPK kinase 4) (SAPKK-4) (SAPKK4) (c-Jun N-terminal kinase kinase 2) (JNK kinase 2) (JNKK 2),419,kinase,False
P14842,72,Htr2a,5-hydroxytryptamine receptor 2A (5-HT-2) (5-HT-2A) (Serotonin receptor 2A),471,gpcr,False
Q9BX84,72,TRPM6,"Transient receptor potential cation channel subfamily M member 6 (EC 2.7.11.1) (Channel kinase 2) (Melastatin-related TRP cation channel 6) [Cleaved into: TRPM6 kinase, cleaved form]",2022,ion_channel,True
Q86Y07,72,VRK2,Serine/threonine-protein kinase VRK2 (EC 2.7.11.1) (Vaccinia-related kinase 2),508,kinase,False
Q96BR1,72,SGK3,Serine/threonine-protein kinase Sgk3 (EC 2.7.11.1) (Cytokine-independent survival kinase) (Serum/glucocorticoid-regulated kinase 3) (Serum/glucocorticoid-regulated kinase-like),496,kinase,False
P30411,71,BDKRB2,B2 bradykinin receptor (B2R) (BK-2 receptor),391,gpcr,False
P00338,69,LDHA,L-lactate dehydrogenase A chain (LDH-A) (EC 1.1.1.27) (Cell proliferation-inducing gene 19 protein) (LDH muscle subunit) (LDH-M) (Renal carcinoma antigen NY-REN-59),332,other,False
O00182,68,LGALS9,Galectin-9 (Gal-9) (Ecalectin) (Tumor antigen HOM-HD-21),355,other,False
O43614,67,HCRTR2,Orexin receptor type 2 (Ox-2-R) (Ox2-R) (Ox2R) (Hypocretin receptor type 2),444,gpcr,False
Q99814,66,EPAS1,Endothelial PAS domain-containing protein 1 (EPAS-1) (Basic-helix-loop-helix-PAS protein MOP2) (Class E basic helix-loop-helix protein 73) (bHLHe73) (HIF-1-alpha-like factor) (HLF) (Hypoxia-inducible factor 2-alpha) (HIF-2-alpha) (HIF2-alpha) (Member of PAS protein 2) (PAS domain-containing protein 2),870,other,False
P47929,66,LGALS7; LGALS7B,Galectin-7 (Gal-7) (HKL-14) (PI7) (p53-induced gene 1 protein),136,other,False
P08172,64,CHRM2,Muscarinic acetylcholine receptor M2,466,gpcr,False
Q9UGN5,63,PARP2,Poly [ADP-ribose] polymerase 2 (PARP-2) (hPARP-2) (EC 2.4.2.30) (ADP-ribosyltransferase diphtheria toxin-like 2) (ARTD2) (DNA ADP-ribosyltransferase PARP2) (EC 2.4.2.-) (NAD(+) ADP-ribosyltransferase 2) (ADPRT-2) (Poly[ADP-ribose] synthase 2) (pADPRT-2) (Protein poly-ADP-ribosyltransferase PARP2) (EC 2.4.2.-),583,other,False
O00214,61,LGALS8,Galectin-8 (Gal-8) (Po66 carbohydrate-binding protein) (Po66-CBP) (Prostate carcinoma tumor antigen 1) (PCTA-1),317,other,False
P30553,58,Cckbr,Gastrin/cholecystokinin type B receptor (CCK-B receptor) (CCK-BR) (Cholecystokinin-2 receptor) (CCK2-R),452,gpcr,False
O70212,58,HTR3A,5-hydroxytryptamine receptor 3A (5-HT3-A) (5-HT3A) (5-hydroxytryptamine receptor 3) (5-HT-3) (5-HT3R) (Serotonin receptor 3A) (Serotonin-gated ion channel receptor),490,ion_channel,True
O60885,58,BRD4,Bromodomain-containing protein 4 (Protein HUNK1),1362,other,False
P15692,57,VEGFA,"Vascular endothelial growth factor A, long form (L-VEGF) (Vascular permeability factor) (VPF) [Cleaved into: N-VEGF; VEGFA]",232,other,False
P00734,54,F2,Prothrombin (EC 3.4.21.5) (Coagulation factor II) [Cleaved into: Activation peptide fragment 1; Activation peptide fragment 2; Thrombin light chain; Thrombin heavy chain],622,protease,False
P22303,53,ACHE,Acetylcholinesterase (AChE) (EC 3.1.1.7),614,other,False
P79218,53,TACR2,Substance-K receptor (SKR) (NK-2 receptor) (NK-2R) (Neurokinin A receptor) (Tachykinin receptor 2),384,gpcr,False
P02768,50,ALB,Albumin,609,other,False
P62993,50,GRB2,Growth factor receptor-bound protein 2 (Adapter protein GRB2) (Protein Ash) (SH2/SH3 adapter GRB2),217,other,False
P11103,48,Parp1,"Poly [ADP-ribose] polymerase 1 (PARP-1) (EC 2.4.2.30) (ADP-ribosyltransferase diphtheria toxin-like 1) (ARTD1) (DNA ADP-ribosyltransferase PARP1) (EC 2.4.2.-) (NAD(+) ADP-ribosyltransferase 1) (ADPRT 1) (Poly[ADP-ribose] synthase 1) (msPARP) (Protein poly-ADP-ribosyltransferase PARP1) (EC 2.4.2.-) [Cleaved into: Poly [ADP-ribose] polymerase 1, processed C-terminus (Poly [ADP-ribose] polymerase 1, 89-kDa form); Poly [ADP-ribose] polymerase 1, processed N-terminus (Poly [ADP-ribose] polymerase 1, 24-kDa form)]",1013,other,False
P25774,48,CTSS,Cathepsin S (EC 3.4.22.27),331,protease,False
P28704,47,Rxrb,Retinoic acid receptor RXR-beta (MHC class I regulatory element-binding protein H-2RIIBP) (Nuclear receptor subfamily 2 group B member 2) (Retinoid X receptor beta),520,nuclear_receptor,False
Q99816,47,TSG101,Tumor susceptibility gene 101 protein (ESCRT-I complex subunit TSG101),390,other,False
P42227,46,Stat3,Signal transducer and activator of transcription 3 (Acute-phase response factor),770,other,False
O43570,46,CA12,Carbonic anhydrase 12 (EC 4.2.1.1) (Carbonate dehydratase XII) (Carbonic anhydrase XII) (CA-XII) (Tumor antigen HOM-RCC-3.1.3),354,other,False
P61964,46,WDR5,WD repeat-containing protein 5 (BMP2-induced 3-kb gene protein),334,other,False
Q12809,45,KCNH2,Voltage-gated inwardly rectifying potassium channel KCNH2 (Eag homolog) (Ether-a-go-go-related gene potassium channel 1) (ERG-1) (Eag-related protein 1) (Ether-a-go-go-related protein 1) (H-ERG) (hERG-1) (hERG1) (Potassium voltage-gated channel subfamily H member 2) (Voltage-gated potassium channel subunit Kv11.1),1159,ion_channel,True
P26281,45,folK,"2-amino-4-hydroxy-6-hydroxymethyldihydropteridine pyrophosphokinase (EC 2.7.6.3) (6-hydroxymethyl-7,8-dihydropterin pyrophosphokinase) (PPPK) (7,8-dihydro-6-hydroxymethylpterin-pyrophosphokinase) (HPPK)",159,other,False
P13945,45,ADRB3,Beta-3 adrenergic receptor (Beta-3 adrenoreceptor) (Beta-3 adrenoceptor),408,gpcr,False
O67648,44,lpxC,UDP-3-O-acyl-N-acetylglucosamine deacetylase (UDP-3-O-acyl-GlcNAc deacetylase) (EC 3.5.1.108) (UDP-3-O-[R-3-hydroxymyristoyl]-N-acetylglucosamine deacetylase),282,other,False
P16610,43,Tacr2,Substance-K receptor (SKR) (NK-2 receptor) (NK-2R) (Neurokinin A receptor) (Tachykinin receptor 2),390,gpcr,False
P34978,42,Tbxa2r,Thromboxane A2 receptor (TXA2-R) (Prostanoid TP receptor) (TXR2),341,gpcr,False
P22392,42,NME2,Nucleoside diphosphate kinase B (NDP kinase B) (NDPK B) (EC 2.7.4.6) (C-myc purine-binding transcription factor PUF) (Histidine protein kinase NDKB) (EC 2.7.13.3) (Nucleoside diphoshate kinase 2) (NDK2) (nm23-H2),152,kinase,False
P30560,42,Avpr1a,Vasopressin V1a receptor (V1aR) (AVPR V1a) (Antidiuretic hormone receptor 1a) (Vascular/hepatic-type arginine vasopressin receptor),424,gpcr,False
P28705,42,Rxrg,Retinoic acid receptor RXR-gamma (Nuclear receptor subfamily 2 group B member 3) (Retinoid X receptor gamma),463,nuclear_receptor,False
P08183,41,ABCB1,ATP-dependent translocase ABCB1 (ATP-binding cassette sub-family B member 1) (Multidrug resistance protein 1) (EC 7.6.2.2) (P-glycoprotein 1) (Phospholipid transporter ABCB1) (EC 7.6.2.1) (CD antigen CD243),1280,other,False
P70605,40,Kcnn3,Small conductance calcium-activated potassium channel protein 3 (SK3) (SKCa 3) (SKCa3) (KCa2.3),732,ion_channel,True
Q07817,39,BCL2L1,Bcl-2-like protein 1 (Bcl2-L-1) (Apoptosis regulator Bcl-X),233,other,False
P30542,39,ADORA1,Adenosine receptor A1,326,gpcr,False
P51144,39,TACR2,Substance-K receptor (SKR) (NK-2 receptor) (NK-2R) (Neurokinin A receptor) (Tachykinin receptor 2),384,gpcr,False
P21462,39,FPR1,N-formyl peptide receptor 1 (N-formylpeptide chemoattractant receptor) (fMet-Leu-Phe receptor) (fMLP receptor),350,gpcr,False
P11229,39,CHRM1,Muscarinic acetylcholine receptor M1,460,gpcr,False
P56817,38,BACE1,Beta-secretase 1 (EC 3.4.23.46) (Aspartyl protease 2) (ASP2) (Asp 2) (Beta-site amyloid precursor protein cleaving enzyme 1) (Beta-site APP cleaving enzyme 1) (Memapsin-2) (Membrane-associated aspartic protease 2),501,protease,False
P68370,38,Tuba1a,Tubulin alpha-1A chain (EC 3.6.5.-) (Alpha-tubulin 1) (Tubulin alpha-1 chain) [Cleaved into: Detyrosinated tubulin alpha-1A chain],451,other,False
Q92793,38,CREBBP,CREB-binding protein (Histone lysine acetyltransferase CREBBP) (EC 2.3.1.48) (Protein lactyltransferas CREBBP) (EC 2.3.1.-) (Protein-lysine acetyltransferase CREBBP) (EC 2.3.1.-),2442,other,False
P03120,38,E2,Regulatory protein E2,365,other,False
P29401,38,TKT,Transketolase (TK) (EC 2.2.1.1),623,other,False
P11799,38,Mylk,"Myosin light chain kinase, smooth muscle (MLCK) (EC 2.7.11.18) (Telokin) [Cleaved into: Myosin light chain kinase, smooth muscle, deglutamylated form]",1906,kinase,False
P21554,38,CNR1,Cannabinoid receptor 1 (CB-R) (CB1) (CANN6),472,gpcr,False
P37231,36,PPARG,Peroxisome proliferator-activated receptor gamma (PPAR-gamma) (Nuclear receptor subfamily 1 group C member 3),505,nuclear_receptor,False
Q28044,35,ADRB2,Beta-2 adrenergic receptor (Beta-2 adrenoreceptor) (Beta-2 adrenoceptor),418,gpcr,False
P11142,35,HSPA8,Heat shock cognate 71 kDa protein (EC 3.6.4.10) (Heat shock 70 kDa protein 8) (Heat shock protein family A member 8) (Lipopolysaccharide-associated protein 1) (LAP-1) (LPS-associated protein 1),646,other,False
Q99572,34,P2RX7,P2X purinoceptor 7 (P2X7) (ATP receptor) (P2Z receptor) (Purinergic receptor),595,ion_channel,True
Q7Z1V1,33,CYP51,Sterol 14-alpha demethylase (Tc14DM) (EC 1.14.14.154) (Cytochrome P450 51) (Lanosterol 14-alpha demethylase),481,other,False
Q9Y251,33,HPSE,Heparanase (EC 3.2.1.166) (Endo-glucoronidase) (Heparanase-1) (Hpa1) [Cleaved into: Heparanase 8 kDa subunit; Heparanase 50 kDa subunit],543,other,False
P47205,32,lpxC,UDP-3-O-acyl-N-acetylglucosamine deacetylase (UDP-3-O-acyl-GlcNAc deacetylase) (EC 3.5.1.108) (UDP-3-O-[R-3-hydroxymyristoyl]-N-acetylglucosamine deacetylase),303,other,False
P58154,32,,Acetylcholine-binding protein (ACh-binding protein) (AchBP),229,other,False
P20309,32,CHRM3,Muscarinic acetylcholine receptor M3,590,gpcr,False
Q9Y5N1,32,HRH3,Histamine H3 receptor (H3R) (HH3R) (G-protein coupled receptor 97),445,gpcr,False
O15392,32,BIRC5,Baculoviral IAP repeat-containing protein 5 (Apoptosis inhibitor 4) (Apoptosis inhibitor survivin),142,other,False
P03428,30,PB2,Polymerase basic protein 2 (RNA-directed RNA polymerase subunit P3),759,other,False
P63085,30,Mapk1,Mitogen-activated protein kinase 1 (MAP kinase 1) (MAPK 1) (EC 2.7.11.24) (ERT1) (Extracellular signal-regulated kinase 2) (ERK-2) (MAP kinase isoform p42) (p42-MAPK) (Mitogen-activated protein kinase 2) (MAP kinase 2) (MAPK 2),358,kinase,False
Q2NNR5,29,CYSLTR1,Cysteinyl leukotriene receptor 1 (CysLTR1) (Cysteinyl leukotriene D4 receptor) (LTD4 receptor),340,gpcr,False
P30968,28,GNRHR,Gonadotropin-releasing hormone receptor (GnRH receptor) (GnRH-R),328,gpcr,False
P05132,27,Prkaca,cAMP-dependent protein kinase catalytic subunit alpha (PKA C-alpha) (EC 2.7.11.11),351,kinase,False
P04191,27,ATP2A1,"Sarcoplasmic/endoplasmic reticulum calcium ATPase 1 (SERCA1) (SR Ca(2+)-ATPase 1) (EC 7.2.2.10) (Calcium pump 1) (Calcium-transporting ATPase sarcoplasmic reticulum type, fast twitch skeletal muscle isoform) (Endoplasmic reticulum class 1/2 Ca(2+) ATPase)",1001,other,False
P02766,27,TTR,Transthyretin (ATTR) (Prealbumin) (TBPA),147,other,False
P22001,27,KCNA3,Potassium voltage-gated channel subfamily A member 3 (HGK5) (HLK3) (HPCN3) (Voltage-gated K(+) channel HuKIII) (Voltage-gated potassium channel subunit Kv1.3),575,ion_channel,True
P30559,26,OXTR,Oxytocin receptor (OT-R),389,gpcr,False
O60760,26,HPGDS,Hematopoietic prostaglandin D synthase (H-PGDS) (EC 5.3.99.2) (GST class-sigma) (Glutathione S-transferase) (EC 2.5.1.18) (Glutathione-dependent PGD synthase) (Glutathione-requiring prostaglandin D synthase) (Prostaglandin-H2 D-isomerase),199,other,False
Q13547,26,HDAC1,Histone deacetylase 1 (HD1) (EC 3.5.1.98) (Protein deacetylase HDAC1) (EC 3.5.1.-) (Protein deacylase HDAC1) (EC 3.5.1.-),482,other,False
P43490,26,NAMPT,Nicotinamide phosphoribosyltransferase (NAmPRTase) (Nampt) (EC 2.4.2.12) (Pre-B-cell colony-enhancing factor 1) (Pre-B cell-enhancing factor) (Visfatin),491,other,False
P49763,26,PGF,Placenta growth factor (PlGF),221,other,False
P40337,25,VHL,von Hippel-Lindau disease tumor suppressor (Protein G7) (pVHL),213,other,False
O75530,25,EED,Polycomb protein EED (hEED) (Embryonic ectoderm development protein) (WD protein associating with integrin cytoplasmic tails 1) (WAIT-1),441,other,False
Q9UBN7,25,HDAC6,Protein deacetylase HDAC6 (EC 3.5.1.-) (E3 ubiquitin-protein ligase HDAC6) (EC 2.3.2.-) (Tubulin-lysine deacetylase HDAC6) (EC 3.5.1.-),1215,other,False
Q00788,25,Avpr2,Vasopressin V2 receptor (V2R) (AVPR V2) (Antidiuretic hormone receptor) (Renal-type arginine vasopressin receptor),371,gpcr,False
P30874,25,SSTR2,Somatostatin receptor type 2 (SS-2-R) (SS2-R) (SS2R) (SST2) (SRIF-1),369,gpcr,False
P55201,24,BRPF1,Peregrin (Bromodomain and PHD finger-containing protein 1) (Protein Br140),1214,other,False
Q6PL18,24,ATAD2,ATPase family AAA domain-containing protein 2 (EC 3.6.1.-) (AAA nuclear coregulator cancer-associated protein) (ANCCA),1390,other,False
P32745,24,SSTR3,Somatostatin receptor type 3 (SS-3-R) (SS3-R) (SS3R) (SST3) (SSR-28),418,gpcr,False
P18090,24,Adrb1,Beta-1 adrenergic receptor (Beta-1 adrenoreceptor) (Beta-1 adrenoceptor),466,gpcr,False
P30872,23,SSTR1,Somatostatin receptor type 1 (SS-1-R) (SS1-R) (SS1R) (SST1) (SRIF-2),391,gpcr,False
P0A881,23,trpR,Trp operon repressor,108,other,False
Q28642,23,BDKRB2,B2 bradykinin receptor (B2R) (BK-2 receptor),367,gpcr,False
P10415,23,BCL2,Apoptosis regulator Bcl-2,239,other,False
Q9BY41,23,HDAC8,Histone deacetylase 8 (HD8) (EC 3.5.1.98) (Protein deacetylase HDAC8) (EC 3.5.1.-) (Protein decrotonylase HDAC8) (EC 3.5.1.-),377,other,False
P10980,23,Chrm2,Muscarinic acetylcholine receptor M2,466,gpcr,False
P21728,23,DRD1,D(1A) dopamine receptor (Dopamine D1 receptor),446,gpcr,False
P35346,23,SSTR5,Somatostatin receptor type 5 (SS-5-R) (SS5-R) (SS5R) (SST5),364,gpcr,False
P9WIQ1,22,glf,UDP-galactopyranose mutase (UGM) (EC 5.4.99.9) (UDP-GALP mutase) (Uridine 5-diphosphate galactopyranose mutase),399,other,False
Q8WUI4,22,HDAC7,Histone deacetylase 7 (HD7) (EC 3.5.1.98) (Histone deacetylase 7A) (HD7a) (Protein deacetylase HDAC7) (EC 3.5.1.-),952,other,False
Q86U86,22,PBRM1,Protein polybromo-1 (hPB1) (BRG1-associated factor 180) (BAF180) (Polybromo-1D),1689,other,False
P29274,22,ADORA2A,Adenosine receptor A2a,412,gpcr,False
Q13936,22,CACNA1C,"Voltage-dependent L-type calcium channel subunit alpha-1C (Calcium channel, L type, alpha-1 polypeptide, isoform 1, cardiac muscle) (Voltage-gated calcium channel subunit alpha Cav1.2)",2221,ion_channel,True
P97583,22,Bdkrb1,B1 bradykinin receptor (B1R) (BK-1 receptor) (Kinin B1 receptor) (KB1),337,gpcr,False
Q70I53,22,hdaH,Histone deacetylase-like amidohydrolase (HDAC-like amidohydrolase) (HDAH) (EC 3.5.1.-),369,other,False
P34158,22,Cftr,Cystic fibrosis transmembrane conductance regulator (CFTR) (ATP-binding cassette sub-family C member 7) (Channel conductance-controlling ATPase) (EC 5.6.1.6) (cAMP-dependent chloride channel),1476,ion_channel,True
P29353,21,SHC1,SHC-transforming protein 1 (SHC-transforming protein 3) (SHC-transforming protein A) (Src homology 2 domain-containing-transforming protein C1) (SH2 domain protein C1),583,other,False
P10828,21,THRB,Thyroid hormone receptor beta (Nuclear receptor subfamily 1 group A member 2) (c-erbA-2) (c-erbA-beta),461,nuclear_receptor,False
P10827,21,THRA,Thyroid hormone receptor alpha (Nuclear receptor subfamily 1 group A member 1) (V-erbA-related protein 7) (EAR-7) (c-erbA-1) (c-erbA-alpha),490,nuclear_receptor,False
P25095,20,Agtr1,Type-1 angiotensin II receptor A (Angiotensin II type-1 receptor A) (AT1 receptor A),359,gpcr,False
P48443,20,RXRG,Retinoic acid receptor RXR-gamma (Nuclear receptor subfamily 2 group B member 3) (Retinoid X receptor gamma),463,nuclear_receptor,False
P31645,20,SLC6A4,Sodium-dependent serotonin transporter (SERT) (5HT transporter) (5HTT) (Solute carrier family 6 member 4),630,other,False
